ipl_season,team,matches_played,avg_score
2008,Chennai Super Kings,16,75.50213447171825
2008,Deccan Chargers,14,73.69964028776978
2008,Delhi Capitals,14,75.98901098901099
2008,Kolkata Knight Riders,13,67.81181759794477
2008,Mumbai Indians,14,72.61931818181819
2008,Punjab Kings,15,80.96262219666475
2008,Rajasthan Royals,16,78.45943041375604
2008,Royal Challengers Bengaluru,14,65.34177215189874
2009,Chennai Super Kings,14,78.85547103569338
2009,Deccan Chargers,16,75.25925925925925
2009,Delhi Capitals,15,69.42932242990655
2009,Kolkata Knight Riders,13,61.12549277266754
2009,Mumbai Indians,13,66.127950310559
2009,Punjab Kings,14,65.96621221102549
2009,Rajasthan Royals,13,61.759534583063996
2009,Royal Challengers Bengaluru,16,65.48678071539658
2010,Chennai Super Kings,16,76.71399282419272
2010,Deccan Chargers,16,73.9547092125579
2010,Delhi Capitals,14,78.28588374851721
2010,Kolkata Knight Riders,14,73.08974358974359
2010,Mumbai Indians,16,79.13032581453633
2010,Punjab Kings,14,77.51107226107226
2010,Rajasthan Royals,14,76.1983173076923
2010,Royal Challengers Bengaluru,16,71.1056376573618
2011,Chennai Super Kings,16,71.39445300462249
2011,Deccan Chargers,14,73.00116346713206
2011,Delhi Capitals,14,70.45645645645645
2011,Kochi Tuskers Kerala,14,67.65044247787611
2011,Kolkata Knight Riders,15,66.7444776119403
2011,Mumbai Indians,16,67.62244362873624
2011,Pune Warriors,13,65.66186107470512
2011,Punjab Kings,14,77.6140762463343
2011,Rajasthan Royals,13,63.58195592286501
2011,Royal Challengers Bengaluru,16,76.8158038147139
2012,Chennai Super Kings,18,73.33073751717819
2012,Deccan Chargers,15,71.71168687982359
2012,Delhi Capitals,18,73.59727134916625
2012,Kolkata Knight Riders,17,71.60207612456747
2012,Mumbai Indians,17,67.01752677702045
2012,Pune Warriors,16,68.87037974683544
2012,Punjab Kings,16,69.26673585884795
2012,Rajasthan Royals,16,74.50280469148393
2012,Royal Challengers Bengaluru,15,73.85629389519178
2013,Chennai Super Kings,18,70.44423260247855
2013,Delhi Capitals,16,66.21369721936148
2013,Kolkata Knight Riders,16,69.7321892875715
2013,Mumbai Indians,19,70.88365051903114
2013,Pune Warriors,16,69.59989701338826
2013,Punjab Kings,16,71.61682743837085
2013,Rajasthan Royals,18,69.68706536856746
2013,Royal Challengers Bengaluru,16,73.2757527733756
2013,Sunrisers Hyderabad,17,61.959882583170256
2014,Chennai Super Kings,16,79.57618304732189
2014,Delhi Capitals,14,70.7355223880597
2014,Kolkata Knight Riders,16,72.61309207025013
2014,Mumbai Indians,15,73.57166666666667
2014,Punjab Kings,17,84.11592791037506
2014,Rajasthan Royals,14,70.9133293484758
2014,Royal Challengers Bengaluru,14,66.95292697646349
2014,Sunrisers Hyderabad,14,74.69817073170732
2015,Chennai Super Kings,17,77.48670855485742
2015,Delhi Capitals,14,72.58551068883611
2015,Kolkata Knight Riders,13,76.265625
2015,Mumbai Indians,16,76.28966223132036
2015,Punjab Kings,14,68.72449602932193
2015,Rajasthan Royals,13,77.20825515947467
2015,Royal Challengers Bengaluru,16,74.99555837563452
2015,Sunrisers Hyderabad,14,76.62673088500902
2016,Delhi Capitals,14,71.01762917933131
2016,Gujarat Lions,16,75.90322580645162
2016,Kolkata Knight Riders,15,74.97110849056604
2016,Mumbai Indians,14,71.4468339307049
2016,Punjab Kings,14,72.72366044551475
2016,Rising Pune Supergiants,14,71.7873417721519
2016,Royal Challengers Bengaluru,16,84.00992167101828
2016,Sunrisers Hyderabad,17,74.05162241887906
2017,Delhi Capitals,14,77.86727272727273
2017,Gujarat Lions,14,85.15940298507462
2017,Kolkata Knight Riders,16,81.59682899207247
2017,Mumbai Indians,17,77.46760837798344
2017,Punjab Kings,14,78.18215845290081
2017,Rising Pune Supergiants,16,74.75
2017,Royal Challengers Bengaluru,13,69.81315104166667
2017,Sunrisers Hyderabad,14,80.21739130434783
2018,Chennai Super Kings,16,81.41389882473173
2018,Delhi Capitals,14,79.69643972517177
2018,Kolkata Knight Riders,16,85.89667705088266
2018,Mumbai Indians,14,82.7514450867052
2018,Punjab Kings,14,78.86951144094002
2018,Rajasthan Royals,15,77.87329545454546
2018,Royal Challengers Bengaluru,14,81.35471930906847
2018,Sunrisers Hyderabad,17,76.83654773384764
2019,Chennai Super Kings,17,66.95951219512195
2019,Delhi Capitals,16,77.29806181246727
2019,Kolkata Knight Riders,14,80.21508544490277
2019,Mumbai Indians,16,78.54685890834192
2019,Punjab Kings,14,83.97089639115251
2019,Rajasthan Royals,14,80.07873527588345
2019,Royal Challengers Bengaluru,14,77.80012453300125
2019,Sunrisers Hyderabad,15,81.73100731570062
2020,Chennai Super Kings,14,70.40965273690406
2020,Delhi Capitals,17,76.91129032258064
2020,Kolkata Knight Riders,14,73.4840579710145
2020,Mumbai Indians,16,78.59552953698775
2020,Punjab Kings,14,79.83051834595224
2020,Rajasthan Royals,14,78.17846519928614
2020,Royal Challengers Bengaluru,15,71.34029686641011
2020,Sunrisers Hyderabad,16,77.49249093733816
2021,Chennai Super Kings,16,78.81426372498717
2021,Delhi Capitals,16,75.5125
2021,Kolkata Knight Riders,17,74.7173144876325
2021,Mumbai Indians,14,75.98293723339427
2021,Punjab Kings,14,72.8508353221957
2021,Rajasthan Royals,14,77.21269095182139
2021,Royal Challengers Bengaluru,15,73.7345035655513
2021,Sunrisers Hyderabad,14,72.89036353144836
2022,Chennai Super Kings,14,76.72251308900523
2022,Delhi Capitals,14,82.68727272727273
2022,Gujarat Titans,16,77.97463216641299
2022,Kolkata Knight Riders,14,74.89106487148103
2022,Lucknow Super Giants,15,79.66141304347826
2022,Mumbai Indians,14,75.58013010053223
2022,Punjab Kings,14,83.53855140186916
2022,Rajasthan Royals,17,83.13194114855244
2022,Royal Challengers Bengaluru,16,76.77709923664122
2022,Sunrisers Hyderabad,14,73.74799753542823
2023,Chennai Super Kings,15,87.8719512195122
2023,Delhi Capitals,14,77.5023282887078
2023,Gujarat Titans,17,84.83268292682926
2023,Kolkata Knight Riders,14,83.68055555555556
2023,Lucknow Super Giants,15,80.55676855895196
2023,Mumbai Indians,16,88.31168831168831
2023,Punjab Kings,14,85.7431506849315
2023,Rajasthan Royals,14,87.1855480710349
2023,Royal Challengers Bengaluru,14,89.18960425280567
2023,Sunrisers Hyderabad,14,80.60648148148148
2024,Chennai Super Kings,14,85.41826643397324
2024,Delhi Capitals,14,94.77635588056063
2024,Gujarat Titans,12,81.66395112016293
2024,Kolkata Knight Riders,14,97.84065244667504
2024,Lucknow Super Giants,14,84.46238425925925
2024,Mumbai Indians,14,88.90213523131672
2024,Punjab Kings,14,85.55759007678677
2024,Rajasthan Royals,15,83.82532751091703
2024,Royal Challengers Bengaluru,15,95.06930693069307
2024,Sunrisers Hyderabad,16,97.73163105784262
2025,Chennai Super Kings,14,85.47534403669725
2025,Delhi Capitals,14,84.40143798681845
2025,Gujarat Titans,15,94.35274904735982
2025,Kolkata Knight Riders,13,84.77262853005068
2025,Lucknow Super Giants,14,96.08658256880734
2025,Mumbai Indians,16,89.39395546129374
2025,Punjab Kings,18,91.21161417322834
2025,Rajasthan Royals,14,94.53690476190476
2025,Royal Challengers Bengaluru,15,89.02218330414478
2025,Sunrisers Hyderabad,13,96.03126954346466
